date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:24	6584/6584	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e64-19b8%22	https://cdnjs.cloudflare.com/ajax/libs/foundation/5.5.3/js/foundation/foundation.tooltip.min.js	C:/Users/admin/Downloads/www/morse_character/cdnjs.cloudflare.com/ajax/libs/foundation/5.5.3/js/foundation/foundation.tooltip.min.js	(from https://morsecode.world/international/trainer/character.html)
11:55:25	7909/7909	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e64-1ee5%22	https://cdnjs.cloudflare.com/ajax/libs/foundation/5.5.3/js/foundation/foundation.reveal.min.js	C:/Users/admin/Downloads/www/morse_character/cdnjs.cloudflare.com/ajax/libs/foundation/5.5.3/js/foundation/foundation.reveal.min.js	(from https://morsecode.world/international/trainer/character.html)
11:55:25	1736/1736	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec5-6c8%22	https://cdnjs.cloudflare.com/ajax/libs/js-cookie/2.1.4/js.cookie.min.js	C:/Users/admin/Downloads/www/morse_character/cdnjs.cloudflare.com/ajax/libs/js-cookie/2.1.4/js.cookie.min.js	(from https://morsecode.world/international/trainer/character.html)
11:55:25	21513/21513	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2018:55:25%20GMT	https://morsecode.world/international/trainer/morse.wav	C:/Users/admin/Downloads/www/morse_character/morsecode.world/international/trainer/morse.wav	(from https://morsecode.world/international/trainer/generator.html)
11:55:26	21513/21513	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2018:55:26%20GMT	https://morsecode.world/international/trainer/copying	C:/Users/admin/Downloads/www/morse_character/morsecode.world/international/trainer/copying	(from https://morsecode.world/international/trainer/trainer.html)
11:55:26	21513/21513	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2018:55:27%20GMT	https://morsecode.world/international/trainer/sending	C:/Users/admin/Downloads/www/morse_character/morsecode.world/international/trainer/sending	(from https://morsecode.world/international/trainer/trainer.html)
11:55:26	21513/21513	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2018:55:27%20GMT	https://morsecode.world/international/trainer/freeform	C:/Users/admin/Downloads/www/morse_character/morsecode.world/international/trainer/freeform	(from https://morsecode.world/international/trainer/trainer.html)
11:55:27	21513/21513	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2018:55:27%20GMT	https://morsecode.world/international/trainer/random	C:/Users/admin/Downloads/www/morse_character/morsecode.world/international/trainer/random	(from https://morsecode.world/international/trainer/trainer.html)
11:55:27	179490/179490	---M--	200	added ('OK')	application/zip	etag:%222bd22-5cfd3a7e909a3%22	https://morsecode.world/international/trainer/morse-trainer-offline.zip	C:/Users/admin/Downloads/www/morse_character/morsecode.world/international/trainer/morse-trainer-offline.zip	(from https://morsecode.world/international/trainer/trainer.html)
11:55:28	28065/28065	---M--	200	added ('OK')	image/png	etag:%226da1-5cfd3a7e909a3%22	https://morsecode.world/international/trainer/word-trainer-example1.png	C:/Users/admin/Downloads/www/morse_character/morsecode.world/international/trainer/word-trainer-example1.png	(from https://morsecode.world/international/trainer/words.html)
11:55:28	28017/28017	---M--	200	added ('OK')	image/png	etag:%226d71-5cfd3a7e909a3%22	https://morsecode.world/international/trainer/word-trainer-example2.png	C:/Users/admin/Downloads/www/morse_character/morsecode.world/international/trainer/word-trainer-example2.png	(from https://morsecode.world/international/trainer/words.html)
